model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.001,0.1,2,9,0.9537753938445024,0.8946696253562546
LSPIN,lspin_tf,0.001,0.1,3,4,0.9234284226674612,0.8903375330633685
LSPIN,lspin_tf,0.001,0.1,3,5,0.9306322770186616,0.8937932428643128
LSPIN,lspin_tf,0.001,0.1,3,6,0.9306013838704644,0.911484689215563
LSPIN,lspin_tf,0.001,0.1,3,7,0.937820700110823,0.9043252870997486
LSPIN,lspin_tf,0.001,0.1,3,8,0.9858976537259252,0.9752607672120536
LSPIN,lspin_tf,0.001,0.1,3,9,0.9415201926125824,0.904542561688406
LSPIN,lspin_tf,0.001,0.1,4,5,0.976081212855642,0.9438040069987192
LSPIN,lspin_tf,0.001,0.1,4,6,0.9531793539832536,0.9041113060722012
LSPIN,lspin_tf,0.001,0.1,4,7,0.9429863396636062,0.8903210183760327
LSPIN,lspin_tf,0.001,0.1,4,8,0.9375454455408938,0.9146529253470308
LSPIN,lspin_tf,0.001,0.1,4,9,0.9656116758065296,0.9221395499421204
LSPIN,lspin_tf,0.001,0.1,5,6,0.9516687571734715,0.9009376038385956
LSPIN,lspin_tf,0.001,0.1,5,7,0.9413567475944694,0.8849364803558509
LSPIN,lspin_tf,0.001,0.1,5,8,0.934586406230184,0.8897514395726557
LSPIN,lspin_tf,0.001,0.1,5,9,0.9761257498345556,0.9434788567050774
LSPIN,lspin_tf,0.001,0.1,6,7,0.9793938397672218,0.9548008192323088
LSPIN,lspin_tf,0.001,0.1,6,8,0.944214600771102,0.9254238865459812
LSPIN,lspin_tf,0.001,0.1,6,9,0.9440429104689438,0.8756226570910376
LSPIN,lspin_tf,0.001,0.1,7,8,0.9515511524421584,0.9194214988192072
